game_id,date,hour,home_team,home_team_id,away_team,away_team_id,home_corners,away_corners
15237889,2026-01-28,19:00:00,atletico-mineiro,1977,palmeiras,1963,5,7
15237891,2026-01-28,19:00:00,coritiba,1982,red-bull-bragantino,1999,1,5
15237890,2026-01-28,19:00:00,internacional,1966,athletico,1967,13,1
15237892,2026-01-28,19:00:00,vitoria,1962,remo,2012,4,1
15237884,2026-01-28,19:30:00,fluminense,1961,gremio,5926,3,6
15237893,2026-01-28,20:00:00,chapecoense,21845,santos,1968,1,14
15237887,2026-01-28,20:00:00,corinthians,1957,bahia,1955,4,6
15237886,2026-01-28,21:30:00,sao-paulo,1981,flamengo,5981,2,6
15237888,2026-01-29,20:00:00,mirassol,21982,vasco-da-gama,1974,5,5
15237885,2026-01-29,21:30:00,botafogo,1958,cruzeiro,1954,3,7
15237894,2026-02-04,19:00:00,flamengo,5981,internacional,1966,4,3
15237898,2026-02-04,19:00:00,red-bull-bragantino,1999,atletico-mineiro,1977,6,12
15237903,2026-02-04,20:00:00,remo,2012,mirassol,21982,4,4
15237896,2026-02-04,20:00:00,santos,1968,sao-paulo,1981,7,4
15237900,2026-02-04,21:30:00,gremio,5926,botafogo,1958,4,2
15237897,2026-02-04,21:30:00,palmeiras,1963,vitoria,1962,6,4
15237902,2026-02-05,19:00:00,bahia,1955,fluminense,1961,6,4
15237895,2026-02-05,20:00:00,vasco-da-gama,1974,chapecoense,21845,14,0
15237899,2026-02-05,21:30:00,cruzeiro,1954,coritiba,1982,12,2
15369877,2026-02-19,19:30:00,athletico,1967,corinthians,1957,8,0
15237912,2026-02-10,21:30:00,vitoria,1962,flamengo,5981,7,2
15237913,2026-02-11,19:00:00,chapecoense,21845,coritiba,1982,6,5
15237908,2026-02-11,19:00:00,mirassol,21982,cruzeiro,1954,9,0
15237909,2026-02-11,20:00:00,atletico-mineiro,1977,remo,2012,6,5
15237906,2026-02-11,21:30:00,sao-paulo,1981,gremio,5926,3,3
15237905,2026-02-11,21:30:00,vasco-da-gama,1974,bahia,1955,8,4
15237911,2026-02-12,19:00:00,athletico,1967,santos,1968,8,2
15237904,2026-02-12,19:30:00,fluminense,1961,botafogo,1958,4,0
15237907,2026-02-12,20:00:00,corinthians,1957,red-bull-bragantino,1999,3,3
15237910,2026-02-12,21:30:00,internacional,1966,palmeiras,1963,16,4
15237918,2026-02-25,19:00:00,red-bull-bragantino,1999,athletico,1967,2,7
15237924,2026-02-25,19:00:00,remo,2012,internacional,1966,7,12
